,name,rank,reviews,stars,review_page,cat,print
536,"NETGEAR 4-Stream WiFi 6 Dual-Band Gigabit Router (WAX202) – AX1800 Wireless Speed (Up to 1.8 Gbps) | Coverage up to 1,200 sq. ft, 40 Devices",#21,207,4.2 out of 5 stars,https://www.amazon.com/product-reviews/B097HMLTQX/ref=zg_bs_pc_cr_sccl_21/146-4176987-7531425?pd_rd_i=B097HMLTQX,Computers & Accessories,$52.99
537,USB Type C 45W Chromebook Charger for HP Chromebook 14 X360 14-ca051wm 14-ca052wm 14-ca091wm ca061dx 14-ca0061dx 14-ca060nr 14-ca020nr 14-ca043cl USB C Power Supply Adapter,#22,506,4.5 out of 5 stars,https://www.amazon.com/product-reviews/B09LYRT2GL/ref=zg_bs_pc_cr_sccl_22/146-4176987-7531425?pd_rd_i=B09LYRT2GL,Computers & Accessories,$15.59
538,"Mac Book Pro Charger -106W USB C Fast Charger Compatible with MacBook Pro 13, 14, 15, 16 Inch, MacBook Air 13 Inch,Included USB-C to USB-C Charge Cable (7.2ft/2.2m)…",#23,526,4.6 out of 5 stars,https://www.amazon.com/product-reviews/B09NBZ9SVK/ref=zg_bs_pc_cr_sccl_23/146-4176987-7531425?pd_rd_i=B09NBZ9SVK,Computers & Accessories,$34.99
539,"NSPENCM 85W Mac Book Pro Charger, Replacement AC 85w 2T-Tip Connector Power Adapter,Laptop Charger Compatible with MacBook pro & Mac Book Air 13 inch-15 inch Retina After Mid 2012",#24,"1,197",4.5 out of 5 stars,https://www.amazon.com/product-reviews/B09BVKYWJ5/ref=zg_bs_pc_cr_sccl_24/146-4176987-7531425?pd_rd_i=B09BVKYWJ5,Computers & Accessories,$21.74
540,"ARRIS SURFboard SB8200 DOCSIS 3.1 Gigabit Cable Modem | Approved for Cox, Xfinity, Spectrum & others | White , Max Internet Speed Plan 1000 Mbps",#25,"15,550",4.5 out of 5 stars,https://www.amazon.com/product-reviews/B07DY16W2Z/ref=zg_bs_pc_cr_sccl_25/146-4176987-7531425?pd_rd_i=B07DY16W2Z,Computers & Accessories,$169.00
541,"4-Port USB 3.0 Hub, KEYMOX Compact Size Data USB Hub for MacBook, Mac Pro, Mac Mini, iMac, Surface Pro, XPS, PC, Flash Drive, Mobile HDD (Charging Not Supported)",#26,"1,138",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B0835LG1LP/ref=zg_bs_pc_cr_sccl_26/146-4176987-7531425?pd_rd_i=B0835LG1LP,Computers & Accessories,$10.48
542,"NETGEAR Nighthawk Smart Wi-Fi Router, R6700 - AC1750 Wireless Speed Up to 1750 Mbps | Up to 1500 Sq Ft Coverage & 25 Devices | 4 x 1G Ethernet and 1 x 3.0 USB Ports | Armor Security",#27,"47,393",4.4 out of 5 stars,https://www.amazon.com/product-reviews/B00R2AZLD2/ref=zg_bs_pc_cr_sccl_27/146-4176987-7531425?pd_rd_i=B00R2AZLD2,Computers & Accessories,$89.99
543,"PowerSource 19.5V 65W 45W UL Listed 14Ft Long HP Smart Blue Tip AC Adapter for Many Models Including: X360 Pavilion, Envy, Spectre, Elitebook 840, ProBook, and More Laptop Power-Supply Charger Cord",#28,"6,007",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07SW89GC3/ref=zg_bs_pc_cr_sccl_28/146-4176987-7531425?pd_rd_i=B07SW89GC3,Computers & Accessories,$28.97
544,"USB C Hub, UtechSmart 6 In 1 USB C to HDMI Adapter with 1000M Ethernet, Power Delivery Pd Type C Charging Port, 3 USB 3.0 Ports Adapter Compatible for MacBook Pro, Chromebook, XPS, and USB C devices",#29,"6,470",4.4 out of 5 stars,https://www.amazon.com/product-reviews/B07H2ZS1B5/ref=zg_bs_pc_cr_sccl_29/146-4176987-7531425?pd_rd_i=B07H2ZS1B5,Computers & Accessories,$29.99
545,"Mac Book Pro Charger - 118W USB C Charger Power Adapter Compatible with MacBook Pro 16, 15, 14, 13 Inch, MacBook Air 13 Inch, iPad Pro 2021/2020/2019/2018 and All USB C Device, 7.2ft USB C to C Cable",#30,"1,500",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B09GFR7NSK/ref=zg_bs_pc_cr_sccl_30/146-4176987-7531425?pd_rd_i=B09GFR7NSK,Computers & Accessories,$35.99
546,"Spectrum | Math Workbook | Grade 5, Printable",#1,"4,733",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B082DKR1RH/ref=zg_bs_digital-educational-resources_cr_sccl_1/146-4176987-7531425?pd_rd_i=B082DKR1RH,Digital Educational Resources,$8.99
547,PE Poster: Physical Education Expectations,#2,2,5.0 out of 5 stars,https://www.amazon.com/product-reviews/B08FFCGPXS/ref=zg_bs_digital-educational-resources_cr_sccl_2/146-4176987-7531425?pd_rd_i=B08FFCGPXS,Digital Educational Resources,$2.50
548,"Carson Dellosa | Interactive Notebook Science Workbook | Grade 3, Printable",#3,314,4.5 out of 5 stars,https://www.amazon.com/product-reviews/B082WMC98G/ref=zg_bs_digital-educational-resources_cr_sccl_3/146-4176987-7531425?pd_rd_i=B082WMC98G,Digital Educational Resources,$7.49
549,"Carson Dellosa, Common Core Math 4 Today Workbook, Grade 2, Printable",#4,869,4.6 out of 5 stars,https://www.amazon.com/product-reviews/B0842TQ1VK/ref=zg_bs_digital-educational-resources_cr_sccl_4/146-4176987-7531425?pd_rd_i=B0842TQ1VK,Digital Educational Resources,$7.49
550,"Mark Twain | Interactive Notebook United States Government Resource Book | Grades 5–8, Printable",#5,197,4.3 out of 5 stars,https://www.amazon.com/product-reviews/B0844P6XYX/ref=zg_bs_digital-educational-resources_cr_sccl_5/146-4176987-7531425?pd_rd_i=B0844P6XYX,Digital Educational Resources,$7.49
551,"Spectrum | Spelling Workbook | Grade 6, Printable",#6,990,4.6 out of 5 stars,https://www.amazon.com/product-reviews/B082DNYHVS/ref=zg_bs_digital-educational-resources_cr_sccl_6/146-4176987-7531425?pd_rd_i=B082DNYHVS,Digital Educational Resources,$8.99
552,"Spectrum | Math Workbook | Grade 3, Printable",#7,"3,541",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B082DKWL2T/ref=zg_bs_digital-educational-resources_cr_sccl_7/146-4176987-7531425?pd_rd_i=B082DKWL2T,Digital Educational Resources,$8.99
553,"Carson Dellosa | Interactive Notebook Math Workbook | Grade 4, Printable",#8,239,4.6 out of 5 stars,https://www.amazon.com/product-reviews/B082VLJNZC/ref=zg_bs_digital-educational-resources_cr_sccl_8/146-4176987-7531425?pd_rd_i=B082VLJNZC,Digital Educational Resources,$7.49
554,"Daily Math Practice, Grade 5 - Teacher's Edition, E-book",#9,172,4.6 out of 5 stars,https://www.amazon.com/product-reviews/B085V9TKJT/ref=zg_bs_digital-educational-resources_cr_sccl_9/146-4176987-7531425?pd_rd_i=B085V9TKJT,Digital Educational Resources,$22.99
